"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2025-5-9","13.75","13.80","13.89","13.65","3.21M","-0.07%"
"2025-5-8","13.76","13.69","13.77","13.55","3.04M","0.00%"
"2025-5-7","13.76","13.68","13.88","13.63","4.21M","0.88%"
"2025-5-6","13.64","13.57","13.71","13.52","4.46M","1.11%"
"2025-4-30","13.49","13.45","13.62","13.41","4.31M","0.22%"
"2025-4-29","13.46","13.47","13.56","13.32","4.25M","1.28%"
"2025-4-28","13.29","13.84","13.92","13.24","8.43M","-4.59%"
"2025-4-25","13.93","14.00","14.36","13.91","13.10M","-3.60%"
"2025-4-24","14.45","13.79","15.17","13.76","19.73M","4.79%"
"2025-4-23","13.79","14.06","14.18","13.73","8.05M","-2.61%"
"2025-4-22","14.16","14.15","14.35","14.00","6.43M","0.00%"
"2025-4-21","14.16","13.88","14.44","13.76","9.01M","0.71%"
"2025-4-18","14.06","14.50","14.58","14.05","10.91M","-4.35%"
"2025-4-17","14.70","14.15","14.74","14.03","15.70M","1.87%"
"2025-4-16","14.43","14.52","14.52","13.80","12.90M","-0.89%"
"2025-4-15","14.56","14.10","14.74","13.90","17.61M","3.12%"
"2025-4-14","14.12","13.77","14.29","13.70","10.25M","2.02%"
"2025-4-11","13.84","13.98","14.34","13.80","14.41M","-2.05%"
"2025-4-10","14.13","13.28","14.43","13.28","17.09M","5.61%"
"2025-4-9","13.38","13.17","13.46","12.60","10.52M","1.44%"
"2025-4-8","13.19","12.55","13.20","12.55","10.29M","4.85%"
"2025-4-7","12.58","13.02","13.49","12.50","9.90M","-7.16%"
"2025-4-3","13.55","13.10","13.89","13.06","9.32M","3.04%"
"2025-4-2","13.15","13.20","13.29","13.08","1.98M","-0.08%"
"2025-4-1","13.16","12.95","13.22","12.95","2.53M","1.78%"
"2025-3-31","12.93","13.08","13.08","12.90","2.37M","-1.15%"
"2025-3-28","13.08","13.27","13.29","13.03","2.01M","-0.98%"
"2025-3-27","13.21","13.40","13.43","13.17","2.22M","-0.68%"
"2025-3-26","13.30","13.10","13.35","13.04","3.40M","1.60%"
"2025-3-25","13.09","13.11","13.14","12.91","2.47M","-0.08%"
"2025-3-24","13.10","13.26","13.28","12.86","3.48M","-0.76%"
