"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2025-5-9","25.45","25.10","25.55","24.96","33.92M","1.92%"
"2025-5-8","24.97","24.18","25.06","24.17","55.00M","2.84%"
"2025-5-7","24.28","24.20","24.42","24.20","30.45M","1.04%"
"2025-5-6","24.03","24.00","24.06","23.77","28.95M","0.54%"
"2025-4-30","23.90","24.33","24.35","23.86","37.64M","-1.44%"
"2025-4-29","24.25","24.77","24.78","24.21","51.21M","-2.84%"
"2025-4-28","24.96","24.66","25.09","24.64","21.64M","0.89%"
"2025-4-25","24.74","24.91","24.94","24.61","16.84M","-0.36%"
"2025-4-24","24.83","24.46","24.96","24.46","22.23M","1.43%"
"2025-4-23","24.48","24.44","24.69","24.26","22.86M","0.45%"
"2025-4-22","24.37","24.27","24.65","24.22","36.56M","0.58%"
"2025-4-21","24.23","24.61","24.80","24.18","29.63M","-1.50%"
"2025-4-18","24.60","24.45","24.68","24.35","19.41M","0.57%"
"2025-4-17","24.46","24.36","24.76","24.28","25.06M","-0.24%"
"2025-4-16","24.52","24.00","24.60","23.98","38.83M","1.78%"
"2025-4-15","24.09","23.88","24.12","23.77","31.40M","0.84%"
"2025-4-14","23.89","23.74","24.14","23.73","30.68M","0.89%"
"2025-4-11","23.68","23.75","23.85","23.45","38.06M","-0.92%"
"2025-4-10","23.90","23.70","24.30","23.68","44.69M","2.31%"
"2025-4-9","23.36","23.31","23.57","23.17","37.89M","-0.89%"
"2025-4-8","23.57","23.18","23.65","23.10","55.47M","1.33%"
"2025-4-7","23.26","24.40","24.40","22.82","86.36M","-8.28%"
"2025-4-3","25.36","25.55","25.81","25.29","27.58M","-1.74%"
"2025-4-2","25.81","25.65","25.95","25.59","17.74M","0.90%"
"2025-4-1","25.58","25.80","25.92","25.40","22.51M","-0.93%"
"2025-3-31","25.82","26.25","26.40","25.70","28.72M","-2.01%"
"2025-3-28","26.35","26.40","26.52","26.30","13.00M","-0.19%"
"2025-3-27","26.40","26.15","26.48","26.08","17.99M","0.76%"
"2025-3-26","26.20","26.40","26.58","26.11","24.31M","-0.76%"
"2025-3-25","26.40","26.01","26.48","26.01","28.82M","1.93%"
"2025-3-24","25.90","25.95","26.02","25.73","23.49M","-0.35%"
"2025-3-21","25.99","26.25","26.55","25.88","35.35M","-0.69%"
"2025-3-20","26.17","26.66","26.74","26.13","25.38M","-1.87%"
"2025-3-19","26.67","25.60","26.67","25.60","55.27M","4.67%"
"2025-3-18","25.48","25.69","25.75","25.45","21.49M","-0.78%"
"2025-3-17","25.68","25.70","25.94","25.61","26.47M","-0.47%"
"2025-3-14","25.80","24.82","25.90","24.80","68.19M","3.82%"
"2025-3-13","24.85","24.32","24.94","24.31","47.32M","2.01%"
"2025-3-12","24.36","24.22","24.52","23.85","34.90M","0.83%"
"2025-3-11","24.16","24.06","24.16","23.86","36.60M","-0.12%"
"2025-3-10","24.19","24.60","24.62","24.13","26.96M","-1.87%"
"2025-3-7","24.65","24.60","24.74","24.29","41.81M","0.24%"
"2025-3-6","24.59","24.63","24.74","24.41","26.20M","-0.20%"
"2025-3-5","24.64","24.54","24.74","24.33","24.95M","0.53%"
"2025-3-4","24.51","24.18","24.58","24.16","27.39M","1.03%"
"2025-3-3","24.26","24.28","24.49","24.17","28.55M","-0.08%"
"2025-2-28","24.28","24.31","24.54","24.28","29.68M","-0.45%"
"2025-2-27","24.39","24.04","24.43","23.90","29.85M","1.50%"
"2025-2-26","24.03","23.95","24.14","23.75","28.03M","0.50%"
"2025-2-25","23.91","24.41","24.44","23.82","37.60M","-2.01%"
"2025-2-24","24.40","24.70","24.70","24.30","35.74M","-1.33%"
"2025-2-21","24.73","24.90","25.09","24.61","35.07M","-1.08%"
"2025-2-20","25.00","24.74","25.05","24.56","26.79M","1.09%"
"2025-2-19","24.73","25.15","25.15","24.61","44.24M","-1.94%"
"2025-2-18","25.22","25.01","25.52","24.92","31.95M","0.84%"
"2025-2-17","25.01","25.53","25.63","24.78","50.62M","-2.04%"
"2025-2-14","25.53","25.68","25.85","25.40","20.08M","-0.89%"
"2025-2-13","25.76","25.40","26.09","25.40","40.61M","1.06%"
"2025-2-12","25.49","25.25","25.50","25.02","20.59M","0.91%"
"2025-2-11","25.26","25.30","25.39","25.10","20.23M","-0.08%"
"2025-2-10","25.28","25.21","25.38","25.00","22.81M","0.16%"
