"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2025-5-9","34.23","33.79","34.93","32.85","133.26M","1.63%"
"2025-5-8","33.68","33.70","34.49","33.50","145.99M","-1.23%"
"2025-5-7","34.10","35.70","35.70","33.72","222.69M","-3.07%"
"2025-5-6","35.18","33.77","35.95","33.04","252.18M","5.65%"
"2025-4-30","33.30","31.84","34.37","31.70","256.47M","4.13%"
"2025-4-29","31.98","31.40","32.63","31.09","220.22M","1.85%"
"2025-4-28","31.40","31.15","32.11","30.88","284.15M","3.19%"
"2025-4-25","30.43","27.75","30.43","27.75","191.79M","10.01%"
"2025-4-24","27.66","28.82","28.88","27.66","102.49M","-3.99%"
"2025-4-23","28.81","29.00","29.29","28.37","117.20M","0.24%"
"2025-4-22","28.74","29.80","29.85","28.74","165.06M","-4.83%"
"2025-4-21","30.20","29.05","30.49","28.60","200.07M","3.14%"
"2025-4-18","29.28","28.80","30.43","28.60","286.82M","3.17%"
"2025-4-17","28.38","25.85","28.38","25.85","141.53M","10.00%"
"2025-4-16","25.80","26.30","27.38","25.61","107.59M","-2.24%"
"2025-4-15","26.39","26.24","26.80","25.90","82.18M","0.57%"
"2025-4-14","26.24","26.35","27.00","26.11","75.14M","0.65%"
"2025-4-11","26.07","25.41","26.70","25.41","96.51M","1.20%"
"2025-4-10","25.76","25.66","26.48","25.30","123.47M","2.67%"
"2025-4-9","25.09","23.52","25.48","22.30","149.80M","3.68%"
"2025-4-8","24.20","23.97","24.81","22.97","148.70M","-4.20%"
"2025-4-7","25.26","26.00","26.98","25.26","56.41M","-10.01%"
"2025-4-3","28.07","28.03","28.70","27.84","69.26M","-1.82%"
"2025-4-2","28.59","28.72","29.18","28.45","82.99M","-1.45%"
"2025-4-1","29.01","29.11","29.61","28.34","135.79M","1.43%"
"2025-3-31","28.60","28.18","28.77","27.54","118.68M","1.42%"
"2025-3-28","28.20","28.70","29.27","28.18","80.80M","-1.74%"
"2025-3-27","28.70","29.11","29.48","28.63","80.45M","-2.08%"
"2025-3-26","29.31","29.00","29.67","28.95","78.65M","0.86%"
"2025-3-25","29.06","30.85","30.86","28.93","129.76M","-4.44%"
"2025-3-24","30.41","31.08","31.49","30.00","162.37M","-5.09%"
"2025-3-21","32.04","34.43","34.43","31.88","194.94M","-8.98%"
"2025-3-20","35.20","34.21","37.00","33.52","244.96M","2.89%"
"2025-3-19","34.21","34.90","35.30","34.10","109.61M","-2.17%"
"2025-3-18","34.97","34.60","35.46","34.28","126.85M","1.19%"
"2025-3-17","34.56","34.23","35.19","34.23","134.27M","0.99%"
"2025-3-14","34.22","34.10","34.98","33.78","160.45M","-1.50%"
"2025-3-13","34.74","34.66","35.90","33.80","203.97M","-1.22%"
"2025-3-12","35.17","34.88","36.83","34.11","256.45M","1.85%"
"2025-3-11","34.53","33.60","34.63","33.50","180.56M","1.56%"
"2025-3-10","34.00","35.23","35.64","33.85","279.59M","-6.44%"
"2025-3-7","36.34","39.10","39.57","36.34","383.11M","-10.00%"
"2025-3-6","40.38","39.00","41.82","38.18","484.98M","6.21%"
"2025-3-5","38.02","34.59","38.02","33.63","338.82M","10.01%"
"2025-3-4","34.56","33.63","35.00","33.63","227.77M","-0.35%"
"2025-3-3","34.68","33.89","34.92","32.78","276.11M","3.52%"
"2025-2-28","33.50","35.25","35.71","33.16","254.54M","-4.96%"
"2025-2-27","35.25","37.24","37.88","34.90","344.37M","-6.15%"
"2025-2-26","37.56","38.11","38.70","36.71","351.08M","0.51%"
"2025-2-25","37.37","39.02","42.10","37.37","442.11M","-10.00%"
"2025-2-24","41.52","42.15","44.10","40.26","390.67M","-0.57%"
"2025-2-21","41.76","38.60","41.76","36.00","389.80M","10.01%"
"2025-2-20","37.96","35.10","37.96","35.10","391.31M","4.52%"
"2025-2-19","36.32","34.96","37.73","33.60","490.48M","5.74%"
"2025-2-18","34.35","31.21","34.76","31.21","457.55M","8.09%"
"2025-2-17","31.78","34.50","35.88","31.50","521.62M","-4.31%"
"2025-2-14","33.21","30.61","33.21","29.48","411.14M","10.00%"
"2025-2-13","30.19","32.29","32.90","29.96","574.99M","0.94%"
"2025-2-12","29.91","27.95","29.91","27.60","243.06M","10.00%"
"2025-2-11","27.19","27.19","27.19","27.19","55.61M","9.99%"
"2025-2-10","24.72","24.72","24.72","24.72","17.51M","10.01%"
"2025-2-7","22.47","21.37","22.47","21.04","253.08M","9.99%"
"2025-2-6","20.43","20.32","20.43","19.51","185.57M","10.02%"
"2025-2-5","18.57","18.13","18.57","17.91","50.31M","10.01%"
"2025-1-27","16.88","17.70","17.84","16.88","53.27M","-3.87%"
"2025-1-24","17.56","16.90","17.98","16.81","79.22M","3.54%"
