"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2025-5-9","15.60","16.10","16.10","15.52","24.46M","-3.11%"
"2025-5-8","16.10","15.58","16.19","15.56","24.84M","2.88%"
"2025-5-7","15.65","16.05","16.15","15.51","24.01M","-1.14%"
"2025-5-6","15.83","15.58","15.83","15.57","19.61M","2.39%"
"2025-4-30","15.46","15.38","15.65","15.35","13.59M","0.59%"
"2025-4-29","15.37","15.23","15.42","15.10","9.79M","0.65%"
"2025-4-28","15.27","15.44","15.58","15.25","10.79M","-1.04%"
"2025-4-25","15.43","15.16","15.64","15.11","16.02M","2.05%"
"2025-4-24","15.12","15.50","15.53","15.10","16.44M","-2.89%"
"2025-4-23","15.57","15.51","16.07","15.45","26.88M","1.17%"
"2025-4-22","15.39","15.19","15.50","15.11","23.35M","1.65%"
"2025-4-21","15.14","14.89","15.16","14.76","16.20M","1.27%"
"2025-4-18","14.95","14.96","14.99","14.74","15.65M","-0.07%"
"2025-4-17","14.96","15.06","15.33","14.96","18.35M","-1.45%"
"2025-4-16","15.18","15.36","15.65","14.92","18.01M","-1.62%"
"2025-4-15","15.43","15.62","15.87","15.23","18.71M","-0.77%"
"2025-4-14","15.55","15.70","15.74","15.42","16.75M","1.30%"
"2025-4-11","15.35","15.10","15.57","15.07","17.32M","0.59%"
"2025-4-10","15.26","15.40","15.73","15.26","21.80M","0.93%"
"2025-4-9","15.12","14.35","15.30","13.96","28.55M","3.49%"
"2025-4-8","14.61","14.70","14.96","14.25","26.43M","-0.61%"
"2025-4-7","14.70","15.49","15.56","14.70","22.37M","-9.98%"
"2025-4-3","16.33","16.10","16.59","16.10","12.48M","-0.79%"
"2025-4-2","16.46","16.38","16.60","16.33","9.35M","0.12%"
"2025-4-1","16.44","16.51","16.68","16.40","14.59M","-0.18%"
"2025-3-31","16.47","16.50","16.60","16.11","21.64M","-1.38%"
"2025-3-28","16.70","17.16","17.28","16.68","18.67M","-2.62%"
"2025-3-27","17.15","17.08","17.35","16.82","19.21M","0.53%"
"2025-3-26","17.06","17.13","17.26","17.05","14.68M","-0.35%"
"2025-3-25","17.12","17.30","17.42","17.01","18.73M","-1.33%"
"2025-3-24","17.35","17.59","17.68","16.98","26.79M","-1.36%"
"2025-3-21","17.59","17.68","17.92","17.51","30.92M","-1.95%"
"2025-3-20","17.94","18.83","18.92","17.94","53.76M","-4.73%"
"2025-3-19","18.83","18.95","19.50","18.45","50.14M","-1.36%"
"2025-3-18","19.09","18.92","19.50","18.73","43.08M","1.60%"
"2025-3-17","18.79","18.70","19.41","18.30","40.18M","0.11%"
"2025-3-14","18.77","18.68","18.84","18.23","37.88M","-0.53%"
"2025-3-13","18.87","19.28","19.36","18.51","45.35M","-3.28%"
"2025-3-12","19.51","19.60","19.90","19.28","59.95M","0.46%"
"2025-3-11","19.42","18.15","19.66","18.10","60.82M","4.97%"
"2025-3-10","18.50","19.39","19.40","18.28","59.26M","-4.59%"
"2025-3-7","19.39","19.40","19.98","18.95","77.59M","0.94%"
"2025-3-6","19.21","18.89","19.58","18.71","76.82M","2.73%"
"2025-3-5","18.70","18.45","19.05","18.20","77.04M","1.36%"
"2025-3-4","18.45","16.97","18.87","16.93","80.87M","7.58%"
"2025-3-3","17.15","17.09","17.51","16.88","28.70M","0.94%"
"2025-2-28","16.99","17.72","17.93","16.93","41.94M","-5.35%"
"2025-2-27","17.95","18.72","18.74","17.76","59.94M","-5.03%"
"2025-2-26","18.90","18.92","19.00","18.45","41.30M","1.29%"
"2025-2-25","18.66","19.04","19.17","18.60","60.77M","-4.89%"
"2025-2-24","19.62","19.20","20.00","18.60","92.76M","5.48%"
"2025-2-21","18.60","18.18","18.76","17.84","55.59M","3.10%"
"2025-2-20","18.04","18.42","18.45","17.88","45.66M","-2.96%"
"2025-2-19","18.59","18.05","18.85","17.76","47.75M","3.28%"
"2025-2-18","18.00","18.36","19.22","17.81","70.32M","-3.23%"
"2025-2-17","18.60","18.99","19.26","18.16","84.25M","1.09%"
"2025-2-14","18.40","17.61","18.48","17.45","74.36M","4.96%"
"2025-2-13","17.53","17.58","18.05","17.14","58.33M","-0.17%"
"2025-2-12","17.56","17.21","17.85","17.20","45.25M","1.04%"
"2025-2-11","17.38","17.62","17.85","17.09","56.29M","-3.23%"
"2025-2-10","17.96","17.33","18.16","17.15","71.96M","5.15%"
"2025-2-7","17.08","16.58","17.88","16.38","74.30M","2.21%"
"2025-2-6","16.71","15.55","16.99","15.32","55.34M","6.64%"
"2025-2-5","15.67","15.51","15.88","15.36","45.88M","4.61%"
"2025-1-27","14.98","15.28","15.58","14.94","35.96M","-1.83%"
"2025-1-24","15.26","13.88","15.26","13.84","43.55M","10.02%"
"2025-1-23","13.87","14.09","14.36","13.86","23.14M","-0.14%"
"2025-1-22","13.89","13.80","14.00","13.50","25.82M","0.43%"
"2025-1-21","13.83","14.27","14.33","13.70","37.81M","-5.27%"
"2025-1-20","14.60","14.65","14.80","14.52","10.60M","0.14%"
"2025-1-17","14.58","14.44","14.70","14.44","10.19M","0.14%"
"2025-1-16","14.56","14.60","14.99","14.42","14.10M","0.28%"
"2025-1-15","14.52","14.59","14.65","14.36","12.27M","-0.62%"
"2025-1-14","14.61","14.05","14.66","13.99","15.24M","4.36%"
"2025-1-13","14.00","13.81","14.11","13.66","10.36M","0.43%"
"2025-1-10","13.94","14.26","14.53","13.93","11.10M","-3.06%"
"2025-1-9","14.38","14.24","14.55","14.17","10.66M","0.56%"
"2025-1-8","14.30","14.56","14.61","13.93","15.99M","-2.19%"
"2025-1-7","14.62","14.48","14.64","14.42","10.15M","0.97%"
"2025-1-6","14.48","14.52","14.66","14.36","9.67M","-0.28%"
"2025-1-3","14.52","15.04","15.16","14.51","15.54M","-3.46%"
"2025-1-2","15.04","15.72","15.82","14.90","20.36M","-4.93%"
"2024-12-31","15.82","16.67","16.70","15.82","21.05M","-4.81%"
"2024-12-30","16.62","16.50","16.83","16.31","12.32M","0.42%"
"2024-12-27","16.55","16.66","16.89","16.47","12.01M","-0.54%"
"2024-12-26","16.64","16.42","16.70","16.41","9.61M","1.65%"
"2024-12-25","16.37","16.57","16.57","16.26","9.36M","-1.50%"
"2024-12-24","16.62","16.62","16.80","16.42","10.90M","0.61%"
"2024-12-23","16.52","17.02","17.09","16.46","14.42M","-3.22%"
"2024-12-20","17.07","16.85","17.16","16.71","12.31M","0.65%"
"2024-12-19","16.96","16.42","16.97","16.30","15.93M","2.42%"
"2024-12-18","16.56","16.40","16.75","16.27","11.85M","1.47%"
"2024-12-17","16.32","16.55","16.65","16.26","11.69M","-1.75%"
"2024-12-16","16.61","16.91","17.00","16.52","13.64M","-1.83%"
"2024-12-13","16.92","17.26","17.39","16.90","20.29M","-2.70%"
"2024-12-12","17.39","17.32","17.42","17.04","16.87M","0.75%"
"2024-12-11","17.26","17.19","17.34","17.11","13.55M","0.17%"
"2024-12-10","17.23","17.49","17.64","17.19","22.86M","1.23%"
"2024-12-9","17.02","17.38","17.45","16.88","16.62M","-2.24%"
"2024-12-6","17.41","17.38","17.67","17.15","20.12M","1.40%"
"2024-12-5","17.17","16.89","17.36","16.86","13.57M","1.36%"
"2024-12-4","16.94","17.34","17.42","16.82","16.68M","-2.31%"
"2024-12-3","17.34","17.44","17.49","17.15","13.16M","-0.52%"
"2024-12-2","17.43","17.11","17.50","17.04","18.55M","1.46%"
"2024-11-29","17.18","16.65","17.32","16.53","21.13M","3.18%"
"2024-11-28","16.65","16.88","17.15","16.58","16.48M","-1.30%"
"2024-11-27","16.87","16.22","16.87","16.04","19.28M","3.05%"
"2024-11-26","16.37","16.55","16.76","16.34","13.78M","-1.39%"
"2024-11-25","16.60","16.84","17.09","16.29","21.56M","-1.48%"
"2024-11-22","16.85","17.56","17.93","16.81","24.96M","-4.04%"
"2024-11-21","17.56","17.45","17.73","17.33","17.60M","-0.17%"
"2024-11-20","17.59","17.41","17.80","17.30","19.95M","0.80%"
"2024-11-19","17.45","17.22","17.48","16.86","22.58M","1.57%"
"2024-11-18","17.18","18.16","18.28","17.00","32.01M","-5.19%"
"2024-11-15","18.12","18.63","19.11","18.12","31.11M","-3.31%"
"2024-11-14","18.74","19.71","19.74","18.63","32.33M","-4.92%"
"2024-11-13","19.71","19.39","19.85","19.15","32.67M","1.13%"
"2024-11-12","19.49","20.01","20.02","19.27","48.98M","-2.45%"
"2024-11-11","19.98","18.58","20.00","18.47","69.98M","8.29%"
"2024-11-8","18.45","18.55","19.09","18.40","43.33M","0.93%"
"2024-11-7","18.28","17.96","18.29","17.67","33.60M","1.84%"
"2024-11-6","17.95","17.75","18.32","17.70","43.48M","1.47%"
"2024-11-5","17.69","17.08","17.88","16.98","36.02M","3.57%"
"2024-11-4","17.08","16.75","17.38","16.71","21.23M","1.24%"
"2024-11-1","16.87","17.73","18.17","16.85","41.97M","-4.85%"
"2024-10-31","17.73","17.28","17.97","16.86","41.07M","2.96%"
"2024-10-30","17.22","16.74","17.55","16.54","35.28M","-0.86%"
"2024-10-29","17.37","17.64","17.78","17.35","30.90M","-0.69%"
"2024-10-28","17.49","17.12","17.58","17.09","28.70M","2.16%"
"2024-10-25","17.12","17.06","17.28","16.96","24.59M","0.35%"
