"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2025-5-9","19.08","19.22","19.26","19.04","14.32M","-0.93%"
"2025-5-8","19.26","19.27","19.30","19.15","13.49M","-0.05%"
"2025-5-7","19.27","19.27","19.37","19.14","17.76M","0.31%"
"2025-5-6","19.21","19.19","19.25","19.06","20.24M","0.63%"
"2025-4-30","19.09","19.11","19.24","19.07","14.01M","-0.05%"
"2025-4-29","19.10","19.06","19.19","18.97","12.52M","0.21%"
"2025-4-28","19.06","19.36","19.47","18.98","27.83M","-2.21%"
"2025-4-25","19.49","19.95","19.95","19.33","42.87M","-3.23%"
"2025-4-24","20.14","20.12","20.28","20.02","18.41M","0.05%"
"2025-4-23","20.13","20.46","20.55","20.12","21.86M","-1.66%"
"2025-4-22","20.47","20.82","20.98","20.40","27.08M","-1.82%"
"2025-4-21","20.85","20.58","20.91","20.48","16.11M","0.82%"
"2025-4-18","20.68","20.76","20.89","20.48","19.34M","-0.67%"
"2025-4-17","20.82","20.85","21.38","20.68","26.37M","-1.00%"
"2025-4-16","21.03","20.90","21.25","20.61","44.31M","-3.88%"
"2025-4-15","21.88","22.12","22.19","21.61","25.61M","-1.04%"
"2025-4-14","22.11","22.12","22.46","21.94","35.54M","-1.60%"
"2025-4-11","22.47","22.58","23.22","22.34","42.04M","-0.84%"
"2025-4-10","22.66","22.60","23.33","22.30","55.31M","-2.20%"
"2025-4-9","23.17","23.13","23.61","22.47","58.92M","0.13%"
"2025-4-8","23.14","22.01","23.17","21.75","92.04M","5.09%"
"2025-4-7","22.02","21.80","22.75","21.25","138.94M","6.43%"
"2025-4-3","20.69","20.35","20.75","20.32","13.87M","1.03%"
"2025-4-2","20.48","20.61","20.69","20.41","12.23M","-1.11%"
"2025-4-1","20.71","20.35","20.87","20.22","21.68M","2.12%"
"2025-3-31","20.28","20.40","20.77","20.15","18.70M","-1.36%"
"2025-3-28","20.56","20.38","20.79","20.30","16.51M","0.88%"
"2025-3-27","20.38","20.13","20.45","20.07","15.00M","1.04%"
"2025-3-26","20.17","20.24","20.29","20.01","8.31M","-0.30%"
"2025-3-25","20.23","19.90","20.24","19.82","11.11M","1.66%"
"2025-3-24","19.90","19.95","20.06","19.83","8.12M","-0.20%"
"2025-3-21","19.94","20.13","20.21","19.88","10.26M","-0.85%"
"2025-3-20","20.11","20.21","20.28","20.06","8.35M","-0.45%"
"2025-3-19","20.20","20.36","20.36","20.09","13.25M","-1.17%"
"2025-3-18","20.44","20.28","20.49","20.18","13.04M","0.79%"
"2025-3-17","20.28","20.06","20.35","20.03","14.27M","1.25%"
"2025-3-14","20.03","19.77","20.08","19.72","15.45M","1.32%"
"2025-3-13","19.77","19.97","20.00","19.70","9.50M","-1.05%"
"2025-3-12","19.98","19.87","20.06","19.80","9.14M","0.40%"
"2025-3-11","19.90","19.61","19.90","19.52","12.28M","0.81%"
"2025-3-10","19.74","19.81","19.94","19.61","14.83M","-0.40%"
"2025-3-7","19.82","19.88","20.05","19.78","9.13M","-0.30%"
"2025-3-6","19.88","19.89","19.94","19.75","15.29M","0.05%"
"2025-3-5","19.87","20.04","20.07","19.82","6.57M","-0.70%"
"2025-3-4","20.01","19.90","20.09","19.83","8.27M","0.40%"
"2025-3-3","19.93","19.85","20.14","19.84","8.90M","0.50%"
"2025-2-28","19.83","20.01","20.18","19.80","13.13M","-1.15%"
"2025-2-27","20.06","20.08","20.23","19.98","11.74M","-0.20%"
"2025-2-26","20.10","19.78","20.16","19.77","11.96M","1.72%"
"2025-2-25","19.76","19.85","19.92","19.72","10.86M","-0.85%"
"2025-2-24","19.93","20.01","20.15","19.84","11.78M","-0.60%"
"2025-2-21","20.05","20.18","20.47","19.92","17.41M","-0.35%"
