"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2025-5-9","23.21","22.93","23.26","22.92","2.78M","1.27%"
"2025-5-8","22.92","23.29","23.29","22.84","4.08M","-1.16%"
"2025-5-7","23.19","23.37","23.47","23.13","3.16M","-0.04%"
"2025-5-6","23.20","22.97","23.23","22.85","5.92M","1.53%"
"2025-4-30","22.85","23.46","23.46","22.79","6.29M","-1.93%"
"2025-4-29","23.30","23.25","23.50","23.12","7.64M","1.17%"
"2025-4-28","23.03","22.73","23.46","22.65","13.68M","5.06%"
"2025-4-25","21.92","22.41","22.44","21.85","5.16M","-2.10%"
"2025-4-24","22.39","22.17","22.44","22.12","3.16M","0.99%"
"2025-4-23","22.17","22.84","22.85","22.10","7.35M","-2.42%"
"2025-4-22","22.72","22.75","23.01","22.69","3.82M","-0.26%"
"2025-4-21","22.78","22.80","23.03","22.71","3.91M","-0.13%"
"2025-4-18","22.81","23.08","23.13","22.79","2.90M","-0.65%"
"2025-4-17","22.96","22.97","23.08","22.76","3.44M","0.00%"
"2025-4-16","22.96","23.00","23.23","22.77","4.50M","-0.13%"
"2025-4-15","22.99","22.44","23.08","22.30","7.10M","2.77%"
"2025-4-14","22.37","22.68","22.73","22.25","5.48M","-1.15%"
"2025-4-11","22.63","22.60","23.05","22.55","5.31M","-0.35%"
"2025-4-10","22.71","22.83","23.10","22.37","8.48M","0.93%"
"2025-4-9","22.50","22.00","22.75","21.62","10.99M","0.99%"
"2025-4-8","22.28","21.59","22.29","21.47","13.71M","3.87%"
"2025-4-7","21.45","21.99","22.77","20.80","16.62M","-5.09%"
"2025-4-3","22.60","22.06","22.70","21.95","10.11M","2.40%"
"2025-4-2","22.07","21.98","22.38","21.81","7.36M","0.41%"
"2025-4-1","21.98","21.24","22.15","21.09","12.59M","4.27%"
"2025-3-31","21.08","21.04","21.25","20.92","4.90M","-0.57%"
"2025-3-28","21.20","21.44","21.60","21.15","4.43M","-1.30%"
"2025-3-27","21.48","21.17","21.52","21.05","5.61M","1.37%"
"2025-3-26","21.19","20.81","21.30","20.75","6.65M","1.83%"
"2025-3-25","20.81","20.83","20.86","20.65","3.99M","0.43%"
"2025-3-24","20.72","20.48","21.07","20.40","6.06M","0.83%"
"2025-3-21","20.55","20.96","21.10","20.35","6.89M","-0.58%"
"2025-3-20","20.67","20.89","20.93","20.63","3.63M","-0.62%"
"2025-3-19","20.80","20.79","20.93","20.73","4.10M","-0.29%"
"2025-3-18","20.86","21.00","21.13","20.78","4.30M","-0.62%"
"2025-3-17","20.99","21.15","21.54","20.98","6.61M","-0.05%"
