"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2025-5-9","62.72","63.00","63.15","62.63","9.97M","-0.87%"
"2025-5-8","63.27","63.00","63.42","62.78","10.49M","-0.21%"
"2025-5-7","63.40","64.28","64.36","62.90","17.77M","-0.25%"
"2025-5-6","63.56","63.48","63.60","62.68","17.33M","0.25%"
"2025-4-30","63.40","62.20","63.50","62.20","15.79M","1.73%"
"2025-4-29","62.32","62.87","62.88","62.06","14.38M","-1.16%"
"2025-4-28","63.05","64.90","64.90","63.05","22.48M","0.08%"
"2025-4-25","63.00","62.68","63.38","62.68","14.10M","0.54%"
"2025-4-24","62.66","62.97","63.20","62.41","15.62M","-0.48%"
"2025-4-23","62.96","64.34","64.57","62.89","26.72M","-2.11%"
"2025-4-22","64.32","64.60","65.17","64.21","17.86M","-0.51%"
"2025-4-21","64.65","64.45","65.19","64.01","16.02M","-0.34%"
"2025-4-18","64.87","66.25","66.25","64.35","20.75M","-1.74%"
"2025-4-17","66.02","66.66","66.77","65.79","26.56M","-2.05%"
"2025-4-16","67.40","65.75","67.89","64.31","54.16M","2.62%"
"2025-4-15","65.68","67.21","67.94","65.24","39.82M","-3.38%"
"2025-4-14","67.98","67.61","69.55","67.08","46.45M","0.04%"
"2025-4-11","67.95","69.89","70.55","67.39","64.85M","-3.22%"
"2025-4-10","70.21","69.00","73.46","67.89","112.54M","4.99%"
"2025-4-9","66.87","60.80","66.87","59.60","68.71M","10.00%"
"2025-4-8","60.79","56.57","61.35","56.56","34.49M","7.46%"
"2025-4-7","56.57","59.00","59.00","54.75","31.39M","-6.65%"
"2025-4-3","60.60","60.00","60.81","59.80","9.36M","0.30%"
"2025-4-2","60.42","60.40","60.52","60.18","5.65M","-0.02%"
"2025-4-1","60.43","60.22","60.69","60.09","8.81M","0.38%"
"2025-3-31","60.20","61.00","61.00","60.06","17.28M","-2.29%"
"2025-3-28","61.61","62.03","62.25","61.52","11.60M","-1.25%"
"2025-3-27","62.39","62.90","63.20","62.33","11.92M","0.02%"
"2025-3-26","62.38","62.62","62.70","62.17","11.29M","0.37%"
"2025-3-25","62.15","62.03","62.21","61.37","10.08M","0.21%"
"2025-3-24","62.02","61.85","62.39","61.46","13.97M","0.32%"
"2025-3-21","61.82","62.52","62.98","61.41","18.43M","-1.43%"
"2025-3-20","62.72","63.30","63.40","62.65","12.44M","-0.98%"
"2025-3-19","63.34","63.39","63.98","63.14","14.51M","-0.39%"
"2025-3-18","63.59","64.32","64.49","63.42","17.65M","-0.83%"
"2025-3-17","64.12","65.22","65.22","64.05","30.86M","0.06%"
"2025-3-14","64.08","62.60","64.77","62.44","42.88M","3.16%"
"2025-3-13","62.12","61.61","63.12","61.52","21.78M","0.65%"
"2025-3-12","61.72","62.40","63.11","61.67","12.90M","-0.77%"
"2025-3-11","62.20","60.50","62.20","60.48","16.39M","1.52%"
"2025-3-10","61.27","61.84","62.03","60.99","13.59M","-1.05%"
"2025-3-7","61.92","61.85","62.84","61.41","16.73M","-0.67%"
"2025-3-6","62.34","61.58","63.37","61.20","24.18M","1.81%"
"2025-3-5","61.23","61.43","61.69","60.59","12.53M","0.16%"
"2025-3-4","61.13","60.67","61.15","60.22","12.57M","0.03%"
"2025-3-3","61.11","61.19","62.26","60.68","16.18M","-0.10%"
"2025-2-28","61.17","62.80","63.80","61.09","28.21M","-2.39%"
"2025-2-27","62.67","61.00","63.50","60.85","36.36M","2.67%"
"2025-2-26","61.04","60.11","61.08","59.86","17.98M","1.65%"
"2025-2-25","60.05","60.22","60.49","60.00","13.32M","-1.10%"
"2025-2-24","60.72","61.05","61.37","60.46","15.10M","-0.54%"
"2025-2-21","61.05","60.57","62.11","60.56","20.92M","0.96%"
"2025-2-20","60.47","60.60","61.24","60.34","11.44M","-0.64%"
"2025-2-19","60.86","60.16","60.95","59.91","12.20M","0.91%"
"2025-2-18","60.31","61.55","61.69","60.27","15.77M","-2.33%"
"2025-2-17","61.75","62.20","62.99","61.51","17.18M","-0.55%"
"2025-2-14","62.09","61.80","62.60","61.68","15.68M","0.16%"
"2025-2-13","61.99","61.20","62.44","61.12","21.52M","0.83%"
"2025-2-12","61.48","60.87","61.50","60.40","14.93M","0.84%"
"2025-2-11","60.97","62.10","62.33","60.89","13.43M","-1.74%"
"2025-2-10","62.05","61.65","62.33","61.32","14.68M","0.67%"
"2025-2-7","61.64","60.76","62.23","60.61","19.43M","1.13%"
"2025-2-6","60.95","60.13","60.96","59.15","14.34M","1.21%"
"2025-2-5","60.22","61.20","61.36","60.18","11.01M","-0.79%"
"2025-1-27","60.70","61.40","62.17","60.68","10.05M","-0.90%"
"2025-1-24","61.25","60.18","61.26","60.11","9.60M","1.21%"
"2025-1-23","60.52","61.20","61.89","60.52","11.34M","0.23%"
"2025-1-22","60.38","61.22","61.32","60.03","11.61M","-1.87%"
"2025-1-21","61.53","62.49","62.60","61.34","8.71M","-0.57%"
"2025-1-20","61.88","61.28","62.48","61.28","13.21M","1.41%"
"2025-1-17","61.02","60.43","61.38","60.00","10.76M","-0.94%"
"2025-1-16","61.60","61.37","62.38","61.11","10.31M","0.51%"
"2025-1-15","61.29","61.79","61.79","61.05","9.37M","-0.94%"
"2025-1-14","61.87","60.20","61.98","60.20","16.54M","2.83%"
"2025-1-13","60.17","59.50","60.65","59.37","9.20M","0.32%"
"2025-1-10","59.98","60.80","61.00","59.93","11.27M","-1.69%"
"2025-1-9","61.01","61.60","61.99","60.82","12.82M","-1.26%"
"2025-1-8","61.79","62.47","62.47","60.66","13.76M","-1.09%"
"2025-1-7","62.47","62.54","62.71","61.86","9.62M","-0.11%"
"2025-1-6","62.54","62.83","63.29","62.15","9.60M","-0.46%"
"2025-1-3","62.83","64.99","65.20","62.76","15.38M","-2.89%"
"2025-1-2","64.70","67.03","67.19","64.33","18.67M","-3.45%"
"2024-12-31","67.01","68.00","68.60","67.00","13.69M","-1.83%"
"2024-12-30","68.26","68.87","68.87","67.58","15.49M","-0.90%"
"2024-12-27","68.88","68.91","69.60","68.60","11.87M","-0.28%"
"2024-12-26","69.07","69.20","69.40","68.73","9.39M","-0.19%"
"2024-12-25","69.20","69.58","69.58","68.53","9.52M","-0.33%"
"2024-12-24","69.43","68.66","69.53","68.52","10.03M","1.06%"
"2024-12-23","68.70","69.48","69.49","68.69","13.46M","-1.04%"
"2024-12-20","69.42","70.00","70.38","69.25","13.59M","-0.87%"
"2024-12-19","70.03","69.60","70.25","69.14","16.86M","-0.85%"
"2024-12-18","70.63","71.71","71.86","70.51","16.08M","-0.48%"
"2024-12-17","70.97","71.30","71.78","70.05","19.09M","-1.16%"
"2024-12-16","71.80","71.35","73.35","70.50","27.36M","0.70%"
"2024-12-13","71.30","72.99","73.00","71.30","29.59M","-3.40%"
"2024-12-12","73.81","71.55","74.17","71.28","38.74M","2.73%"
"2024-12-11","71.85","70.33","72.65","70.33","21.16M","1.70%"
"2024-12-10","70.65","73.00","73.50","70.50","35.68M","1.96%"
"2024-12-9","69.29","70.20","70.39","69.00","14.10M","-1.80%"
"2024-12-6","70.56","69.90","70.98","69.50","14.84M","0.94%"
"2024-12-5","69.90","69.83","70.30","69.50","11.81M","-0.24%"
"2024-12-4","70.07","71.24","71.24","69.82","14.86M","-2.18%"
"2024-12-3","71.63","72.62","72.63","71.05","19.92M","-1.36%"
"2024-12-2","72.62","69.55","73.17","69.23","34.05M","4.41%"
"2024-11-29","69.55","68.25","70.34","68.10","18.91M","1.86%"
"2024-11-28","68.28","68.68","69.20","68.08","13.66M","-0.58%"
"2024-11-27","68.68","67.60","68.69","67.07","12.50M","1.24%"
"2024-11-26","67.84","67.70","68.75","67.59","10.69M","-0.24%"
"2024-11-25","68.00","67.60","68.65","67.45","14.87M","0.89%"
"2024-11-22","67.40","69.95","70.44","67.40","17.91M","-3.73%"
"2024-11-21","70.01","70.19","70.37","69.54","12.11M","-0.55%"
"2024-11-20","70.40","70.19","70.79","69.80","13.66M","0.13%"
"2024-11-19","70.31","70.00","70.40","68.47","16.88M","0.77%"
"2024-11-18","69.77","70.75","71.53","69.28","19.12M","-1.34%"
"2024-11-15","70.72","72.02","72.50","70.71","21.29M","-1.90%"
"2024-11-14","72.09","74.17","74.31","71.89","19.69M","-2.79%"
"2024-11-13","74.16","73.72","75.96","73.50","20.84M","-0.05%"
"2024-11-12","74.20","74.43","76.42","73.77","32.15M","-0.31%"
"2024-11-11","74.43","74.42","74.58","72.86","37.68M","-1.81%"
"2024-11-8","75.80","78.00","78.51","75.00","45.58M","-1.46%"
"2024-11-7","76.92","71.71","76.96","71.65","55.14M","5.88%"
"2024-11-6","72.65","72.86","73.70","71.66","35.81M","-0.34%"
"2024-11-5","72.90","70.00","73.52","69.27","41.31M","3.83%"
"2024-11-4","70.21","68.88","70.50","68.33","30.00M","2.77%"
"2024-11-1","68.32","67.83","69.98","67.30","30.37M","0.72%"
"2024-10-31","67.83","67.55","68.83","67.00","19.51M","-0.10%"
"2024-10-30","67.90","67.80","68.80","67.45","17.12M","-1.35%"
"2024-10-29","68.83","70.97","71.02","68.47","28.67M","-2.09%"
"2024-10-28","70.30","69.00","70.52","68.62","27.08M","1.90%"
"2024-10-25","68.99","67.80","70.00","67.12","25.91M","1.76%"
