"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2025-5-9","59.06","58.80","59.39","58.48","24.09M","0.14%"
"2025-5-8","58.98","58.26","59.39","58.09","34.49M","1.25%"
"2025-5-7","58.25","61.40","61.40","57.92","64.31M","-3.46%"
"2025-5-6","60.34","60.99","61.14","59.88","40.91M","1.98%"
"2025-4-30","59.17","60.79","60.80","59.09","43.04M","-2.12%"
"2025-4-29","60.45","59.50","61.58","59.23","67.72M","4.06%"
"2025-4-28","58.09","57.35","58.57","56.70","35.11M","1.27%"
"2025-4-25","57.36","57.12","57.92","56.78","32.63M","1.67%"
"2025-4-24","56.42","56.22","57.71","56.00","37.28M","0.36%"
"2025-4-23","56.22","55.81","56.84","55.65","48.80M","3.06%"
"2025-4-22","54.55","53.68","54.95","53.37","37.03M","1.22%"
"2025-4-21","53.89","52.86","53.98","52.60","25.89M","1.97%"
"2025-4-18","52.85","52.56","53.45","52.35","24.03M","0.65%"
"2025-4-17","52.51","51.98","52.59","51.82","26.70M","0.29%"
"2025-4-16","52.36","52.40","52.40","51.10","40.99M","-0.42%"
"2025-4-15","52.58","53.06","53.06","51.90","38.83M","-1.00%"
"2025-4-14","53.11","53.00","54.26","52.75","62.56M","1.94%"
"2025-4-11","52.10","52.10","52.85","51.45","63.12M","-0.38%"
"2025-4-10","52.30","53.80","53.81","52.00","83.83M","2.05%"
"2025-4-9","51.25","49.80","51.25","48.48","120.71M","-0.70%"
"2025-4-8","51.61","58.08","58.14","51.45","127.29M","-9.73%"
"2025-4-7","57.17","57.81","58.38","57.17","42.10M","-10.00%"
"2025-4-3","63.52","65.50","66.39","63.42","50.28M","-3.83%"
"2025-4-2","66.05","68.23","68.23","65.77","38.35M","-3.20%"
"2025-4-1","68.23","67.70","70.00","67.47","47.88M","1.35%"
"2025-3-31","67.32","67.10","68.48","66.88","22.67M","-0.69%"
"2025-3-28","67.79","67.97","69.47","67.58","29.16M","-0.31%"
"2025-3-27","68.00","65.50","68.12","65.39","36.55M","3.44%"
"2025-3-26","65.74","66.59","67.14","65.62","21.58M","-1.28%"
"2025-3-25","66.59","67.33","67.89","66.43","21.15M","-1.14%"
"2025-3-24","67.36","67.02","67.80","66.80","27.85M","0.57%"
"2025-3-21","66.98","69.16","69.57","66.72","47.04M","-3.72%"
