"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2025-5-9","5.54","5.57","5.57","5.51","10.77M","-0.18%"
"2025-5-8","5.55","5.53","5.57","5.51","13.21M","-0.18%"
"2025-5-7","5.56","5.55","5.60","5.53","15.28M","0.72%"
"2025-5-6","5.52","5.45","5.52","5.45","13.64M","1.66%"
"2025-4-30","5.43","5.46","5.52","5.43","15.23M","-0.37%"
"2025-4-29","5.45","5.42","5.47","5.39","12.02M","0.93%"
"2025-4-28","5.40","5.58","5.59","5.38","23.36M","-5.26%"
"2025-4-25","5.70","5.65","5.78","5.65","20.10M","0.35%"
"2025-4-24","5.68","5.69","5.73","5.64","19.01M","-0.18%"
"2025-4-23","5.69","5.78","5.80","5.66","27.82M","-1.56%"
"2025-4-22","5.78","5.81","5.87","5.74","32.18M","-0.86%"
"2025-4-21","5.83","5.84","5.89","5.77","38.77M","-1.85%"
"2025-4-18","5.94","6.09","6.11","5.91","34.64M","-3.10%"
"2025-4-17","6.13","5.94","6.18","5.89","57.51M","2.17%"
"2025-4-16","6.00","5.86","6.04","5.75","37.37M","1.18%"
"2025-4-15","5.93","5.87","5.98","5.80","37.19M","0.85%"
"2025-4-14","5.88","5.72","5.94","5.70","35.06M","3.16%"
"2025-4-11","5.70","5.78","5.80","5.66","24.97M","-2.23%"
"2025-4-10","5.83","5.71","5.90","5.64","34.82M","2.46%"
"2025-4-9","5.69","5.56","5.74","5.41","30.20M","1.61%"
"2025-4-8","5.60","5.29","5.60","5.29","40.82M","6.26%"
"2025-4-7","5.27","5.65","5.73","5.27","39.30M","-9.91%"
"2025-4-3","5.85","5.72","5.85","5.71","19.33M","1.56%"
"2025-4-2","5.76","5.77","5.83","5.73","18.64M","-0.52%"
"2025-4-1","5.79","5.71","5.80","5.71","17.45M","1.40%"
"2025-3-31","5.71","5.78","5.80","5.68","20.50M","-1.55%"
"2025-3-28","5.80","5.88","5.89","5.78","20.36M","-1.36%"
"2025-3-27","5.88","5.94","5.97","5.87","21.75M","-1.01%"
"2025-3-26","5.94","5.93","5.96","5.88","18.44M","0.17%"
"2025-3-25","5.93","5.94","5.95","5.85","20.62M","-0.34%"
"2025-3-24","5.95","5.96","5.97","5.84","20.43M","0.17%"
"2025-3-21","5.94","6.00","6.07","5.88","27.13M","-1.66%"
"2025-3-20","6.04","6.08","6.10","6.03","15.43M","-0.66%"
"2025-3-19","6.08","6.12","6.16","6.06","14.68M","-0.82%"
"2025-3-18","6.13","6.22","6.24","6.12","17.68M","-1.45%"
"2025-3-17","6.22","6.25","6.37","6.21","34.41M","0.00%"
"2025-3-14","6.22","5.93","6.24","5.93","50.95M","5.07%"
"2025-3-13","5.92","5.89","5.93","5.85","14.03M","0.34%"
"2025-3-12","5.90","5.91","5.96","5.88","15.51M","-0.34%"
